Change Number,Episode,Unique Object,Intial Cubicle,location in cubicle,Final Cubicle,location in cubicle
1,1,Excel gum,Jack J.,Next to green tea box,Json,Next to Keyboard
2,1,Tape,Jerry,Next to laptop,Daniel,On top of PC tower
3,1,Triceratops,Emily,Next to acne patch bag,Jack S,Next to mug beside monitor
4,1,iPad,Jack S.,In front of monitors,Amy,Next to the PC tower
5,1,Ping pong cover,Daniel,On top of ping pong paddle,Alana,Edge of the desk
6,1,Plastic cubicle cap,Frank,Near far corner of cubicle,Jason,Near far corner of cubicle
7,1,Absolute C++ book,Alex,From between the row of books,Kristine,Near keyboard in front of whiteboard
8,1,Black Taj Mahal 3D print,Amy,Next to primary monitor,Josh,Next to monitor
9,1,Ship in a bottle,Alana,Behind white bottle,James,In front of primary monitor
10,1,Red screwdriver,Eddie,Next to white paper sheet,Jessica,"Next to scissors, tape, screws"
11,1,Tin of peanuts,Roberto,Near green paper bag,Sherlock Holmes,Near blue bag
12,1,Yellow highliter,Cecilia,Next to pink marker near monitor,Kristine,Next to white mug
13,1,"Blue ""Pure Camomile"" tea box",Kristine,"Center right-back of cubicle, near white plastic bag",2008Q,Next to right monitor
14,1,"""Imprint"" Magazine",Sherlock Holmes,"Near desk edge, in front of tea bag box",Alexandria,"Standing upright, against the cubicle edge"
15,1,Black styrofoam holder with flower print,Lauren,On top of red-black box near edge of cubicle,Carleton,Next to whiteboard
16,1,Small gold HDMI converter,Jason,On whiteboard holder,James,On white PC box
17,1,Chair,James,Main cubicle area,Alexandria,"Main cubicle area, behind existing chair"
18,1,"White ""Himalayan Neem Scrub""",Carleton,On left front of cubicle,2008R,Next to rolled up poster on the right
19,1,"White ""Godiva"" mug",Carleton,On left front of cubicle,Josh,Next to monitor at the back
20,1,Multimeter,Alexandria,Next to grey box,Carleton,In front of green tea box
21,1,Blue vitamin bottle,Josh,Next to monitor at the back,Emily,In front of PC at the back
22,1,Mug with toothbrush and toothpaste,Josh,Center right back of cubicle,2008Q,Corner of desk
23,1,Lysol blue container,2008R,On left side of cubicle desk,Jason,On left side of cubicle desk
24,1,Black Logitech webcam,2008Q,On top of black PC,Jessica,Next to cardboard box and scissors on right side of cubicle desk
25,2,Green/white box of japanese tea,Jack J.,Next to black toolbox,Jerry,Near cubicle wall
26,2,Red scissors,Jessica,Near webcam,Jack. S,On top of black diary
27,2,Wireless charger,Emily,Near power bar,Daniel,Near power bar
28,2,"""Otto Motors"" chapstick",Jack S.,In front of monitors,Emily,In front of monitor
29,2,Cerave lotion bottle,Jerry,Beside monitor against back cubicle wall,Amy,Beside monitor near back cubicle wall
30,2,HP laptop,Daniel,Near cables,Frank,Near desk edge
31,2,White charging cable,Frank,Plugged into power bar,Jack. S,In front of Jetson TX2
32,2,2 Ketchup packets,Amy,In front of white board,Sherlock Holmes,On top of Green box next to Red box of tea bags
33,2,Headphones,Alex,Near posters,Jack. J,"On desk, above drawers, near blue water bottle"
34,2,White water bottle,Alana,Near large photographs,Kristine,Near black bookends
35,2,Expo white board cleaner,Eddie,Near whiteboard,James,Near whiteboard
36,2,Absolute C++ book,Kristine,Near keyboard in front of whiteboard,Sherlock Holmes,"Upright, leaning against whiteboard"
37,2,Pink highlighter,Cecilia,Near monitors,Lauren,On whiteboard holder
38,2,HP wireless mouse,Sherlock Holmes,In front of monitors,Lauren,In front of monitor
39,2,Box of gloves,Lauren,On the left of monitor,Jason,Next to Lysol wipes
