Change Number,Episode,Object,Cubicle,Initial State,Final State
1,1,Red pen,Jack. J,Red pen besides the white board,Red pen cap off on desk
2,1,White cat mug,Emily,White cat mug stacked on top of each other ,White cat mug separated 
3,1,Goose,Jack. S,Goose standing up,Goose laying down
4,1,White statics book,Jack. S,White statictics book closed,White statictics book open
5,1,Laptop,Frank,Laptop closed,Laptop open facing the chair
6,1,White flower bag,Daniel,White flower bag in the green bag,White flower bag outside the green bag on desk
7,1,Two storage,Jerry,Two storage on top of laptop,"Two storage moved away from laptop, Silver on unplugged"
8,1,Box,Jessica,Box beside the whiteboard open,"Box beside white board closed, upside down"
9,1,Ketchup ,Amy,Ketchup on white board marker holder,Ketchup beside the fork
10,1,Two posters,Alex,Two poster laying down,Two poster standing up
11,1,Pink pop can,Alana,Pink pop can with character facing out,Pink pop can turn around
12,1,Three books,Roberto,Three books laying down,Three books standing up
13,1,Muffin,Kristine,Muffin bitten ,Muffin with another bite
14,1,Android finger ring,Cecilia,Android finger ring laying down,Android finger ring standing up beside lemme
15,1,white water bottle,Eddie,white water bottle cap open,white water bottle cap closed
16,1,Blue cord,Lauren,Blue cord coiled on paper box,Blue cord extended
17,1,Red tea box,Sherlock Homes,Red tea box closed,Red tea box open
18,1,Ultimate Frisbee,James,Ultimate Frisbee upside down,Ultimate Frisbee right side up
19,1,Grey power bar,Jason,Grey power bar laying down,Grey power bar standing up beside the back in side of the cubicle
20,1,Green tea box,Carleton,"Green tea box closed, beside the white board","Green tea box open, in front of the white board"
21,1,Tissue,Alexandria,Tissue poking out of the tissue box,Tissue inside the tissue box
22,1,Black water bottle,Josh,Black water bottle cap off,Black water bottle cap on
23,1,Black backpack,Bruce Wayne,Black backpack laying down on the table,Black backpack standing up beside the table
24,1,Lysol box,Bruce Wayne,Lysol box cap closed,Lysol box cap opens
25,1,Camera,Mart Scott,Camera facing away the chair,Camera facing the chair
26,2,Brown book ,Jack. J,Brown book closed,Brown book opened
27,2,mouse,Emily,mouse on keyboard holder,mouse on table in front of monitor
28,2,birdie tube,Emily,birdie tube laying down,birdie tube standing up
29,2,meta rayband case,Jack. S,meta rayband case closed,meta rayband case opened
30,2,rubik's cube ,Jack. S,rubik's cube solved,"rubik's cube not solved, in a diff pattern"
31,2,shelf on top of the cubicle ,Frank,shelf on top of the cubicle was closed,shelf on top of the cubicle now opened
32,2,dinorsaur figurine ,Daniel,dinorsaur figurine standing up on top of computer case,dinorsaur figurine upside down on desk
33,2,le robot arms,Jerry,le robot arms folded,le robot arms unfolded
34,2,tape,Jessica,tape on desk,tape on computer case
35,2,iPad,Amy,"iPad stading up, opened, on the right of the desk","iPad laying down, closed, in front of monitor"
36,2,cardboard ,Alex,cardboard box laying down,"cardboard standing up, opened "
37,2,telephone receiver,Alex,telephone receiver on the base,"telephone receiver off the base, beside the base"
38,2,keyboard holder ,Alana,"keyboard holder taken out, in front of monitor","keyboard holder pushed in, under the table"
39,2,lunch box,Roberto,lunch box closed,lunch box opened
40,2,"headphone, headphone case",Eddie,"headphone outisde of case, headphone case opened","headphone inside of case, headphone case closed"
41,2,dixit card game box ,Kristine,dixit card game box closed,dixit card game opened
42,2,lamp,Cecilia,lamp turned off,lamp turned on
43,2,black toolbox,Lauren,black toolbox closed,black toolbox opened
44,2,black cardboard phone holder,Sherlock Homes,black cardboard phone holder stand up,black cardboard phone holder laying down and disensembled
45,2,round metal biscuit box,James,round metal biscuit box closed,round metal biscuit box opened
46,2,green keyboard box ,Jason,green keyboard box laying down on the table,green keyboard box verticly standing up  on the whiteboard
47,2,computer box,Carleton,computer box laying down,computer box standing up
48,2,white foam box,Alexandria,white foam box closed,white foam box opened
49,2,pineappple cat plushie ,Carleton,"pineappple cat plushie on the laptop, standing up","pineappple cat plushie on the table, laying down"
50,2,board eraser,Lena Marwood,"2 board erasers beside the white board, on right side of the whiteboard",2 board erasers in the pen stand of the white board
51,3,black drone box,Jack. J,black drone box closed,black drone box opened
52,3,black headphone,Jack. J,black headphone beside the edge,black headphone beside the monitor
53,3,shuttlecock tube,Emily,shuttlecock tube on the desk,shuttlecock tube on top of the computer case
54,3,red scissor,Jack. S,red scissor on top of black notebook ,red scissor in the opened black case
55,3,Eiffel Tower ,Daniel,Eiffel Tower on top of computer case,Eiffel Tower beside the monitor
56,3,black mug ,Daniel,black mug beside the monitor,black mug beside the white board
57,3,black laptop ,Frank,black laptop lid open,black laptop lid close
58,3,empty water bottle ,Jerry,empty water bottle beside the monitor,empty water bottle beside the white board
59,3,black tool box ,Jessica,black tool box closed,black tool box opened
60,3,ipad ,Amy,ipad on the keyboard holder with lid closed,ipad on top of computer caase with lid opened
