Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,monitor with red line at the bottom,right side of the cubical,left side of the cubical
2,keyboard,"on the keyboard stand, left side of cubical","on the table, left side of cubical"
3,glasses box,lefthand side of cubical,righthand side of cubical
3,erasers,on the whiteboard holder,on the table
4,mouse,on the table,on keyboard stand
5,mouse,on keyboard stand,on the table
6,green jacket,on top of chair,right side of table
7,hat,on the table,on top of cardbox
8,teabag,right side of the cubical,middle of the cubical
9,chopsticks,lefthand side of cubical,righthand side of cubical
9,headphones,right side of the cubical,left side of the cubical
11,headphones,lefthand side of cubical,right side of table
12,laptop,middle of table,left side of the cubical
12,keyboard,lefthand side of cubical,right side of table
13,white jacket,beside the green jacket,on top of green jacket
13,lilac cardboard game,right side of the cubical,left side of the cubical
13,pencil,middle of table,left side of the cubical
14,hat,on top of cardbox,on top of white shirt
15,headphones,right side of the cubical,left side of the cubical
16,keyboard,lefthand side of cubical,center of table
17,standing robot,middle of cubical,right side of cubical
18,bandana,on tote bag,on the table
19,pencil,lefthand side of cubical,right side of cubical
19,bandana,on the table,on the chair
20,bandana,on the chair,on the clothes
