Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,Triceratops toy,left corner,right corner
1,Controller,middle left,left corner
2,Frisbee,right corner,middle left
3,funko pop,middle right,far right corner
4,plushie,left corner,middle left
5,Triceratops toy,right corner,middle right
6,plushie,middle left,right corner
7,funko pop,far right corner,far left corner
7,controller,left corner,far right corner
8,plushie,right corner,far right corner
9,tape dispenser,left corner,right corner
9,coup game,right corner,left corner
10,playing cards,middle,left corner
11,playing cards,right corner,left corner
12,funko pop,left corner,right corner
13,funko pop,right corner,middle right
14,Triceratops toy,left corner,far right corner
14,plushie,far right corner,right corner
15,coup game,left corner,right corner
16,cooling fan,right corner,left corner
17,camera,middle left,right corner
17,plushie,left corner,middle left
18,Frisbee,middle left,right corner
19,funko pop,middle right,left corner
20,Triceratops toy,far right corner,left corner
