Episode,Non-unique Object,Initial Count,Final Count
1,whitebaord markers,2,4
1,books,2,1
2,computer fan,0,1
3,table tenis racket,1,2
4,books,1,3
5,markers,4,0
5,pencils,0,3
6,heat sink,0,1
7,computer fan,1,0
8,pencils,3,5
9,pencils,5,0
10,books,3,0
10,white board duster,0,2
11,metal clamps,0,3
12,table tenis racket,2,1
13,heat sink,1,2
14,duster,2,1
15,metal clamps,3,2
16,heat sink,2,1
16,funko pops,0,2
17,paper cups,0,4
18,duster,1,0
19,table tenis racket,1,0
20,paper cups,4,6
20,spray bottles,0,2
