Episode,Unique Object,Location inside Cubicle,Appear/ Disappear (Change)
1,tim hortons instant coffee,left side of monitor,Appear
2,kit kat snack bag,"besides the keyboard, left side of the cubicle",Appear
4,green yoshi painting,besides the black computer case,Disappear
5,black rog box,left corner of the cubicle,Appear
6,ipad,besides the white board,Appear
7,sun glasses,on top of the black box,Appear
8,plushie,on the chair,Appear
9,jellies box,right side of the cubicle,Appear
10,plushie,in front of the monitor,Disappear
10,ping pong paddle case,laying on top of the ipad,Disappear
11,tim hortons instant coffee,on top of the black computer case,Disappear
12,kit kat snack bag,in front of the monitor,Disappear
13,red tim hortons donut box,left side of cubicle,Appear
14,red scisser,besides the monitor,Appear
15,pink box,besides the monitor,Disappear
16,black rog box,left side of the cubicle,Disappear
17,red covered book,in front of the monitor,Appear
18,red tim hortons donut box,left side of the cubicle,Disappear
19,shuttlecock tube,in front of the monitor,Appear
20,poster,right side of the cubicle,Disappear
21,white mug stacked together,"right side of the cubicle, besides the black computer case",Appear
22,white paper towel,besides the white board,Appear
23,blue cup,besides the white board,Disappear
24,ipad,standing on top of the black computer case,Disappear
