Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,black mug,left side of the cubicle,besides the white board
2,green yoshi painting,besides the white board,besides the black computer case
3,robot arm,besides the white board,on top of the black computer case
4,poster,left corner of the cubicle,right side of the cubicle
5,kit kat snack bag,besides the keybard,in front of the monitor
6,black rog box,left corner of the cubicle,besides the white board
7,ping pong paddle case,"besides the green bag, right side of cubcle","besides the whiete board, on top of ipad"
8,green bag,"right side of cubicle, against the wall",on top of the black box
9,tim hortons instant coffee,besides the monitor,on top of the black computer case
9,plushie,on the chair,in front of the monitor
10,jellies box,"right side of cubicle, besides the wall",besides the monitor
10,sun glasses,on top of the black box,on top of the poster
11,green bag,on top of the black box,left corner of the cubicle
12,ipad,standing besides the white board,standing in front of the monitor
13,jellies box,in front of the monitor,besides the white board
14,sun glasses,on top of the poster,on top of the left monitor
15,ipad,in front of the monitor,on top of the black computer case
16,blue cup,"on top of the red tea box, right side of the cubicle",besides the monitor
17,red scissor,besides the monitor,besides the white board
18,blue cup,besides the monitor,besides the white board
19,red tea box,"right side of cubicle, against the wall",besides the white board
20,red covered book,in front of the monitor,in front of the white board
21,shuttlecock tube,in front of the monitor,right side of the white board
22,red tea box,besides the white board,on top of the black computer case
23,white paper towel,besides the white board,in front of the monitor
24,red covered book,in front of the white board,on top of the black computer case
