Episode,Unique Object,Location inside Cubicle,Appear/ Disappear (Change)
1,Wheel,In front of PC right side of cubicle at the back,Appear
2,Orange water bottle,Left side of cubicle at the front,Appear
2,Plant Pot with a feather,Right side of cubicle at the front,Appear
3,Backpack,Right side of the cubicle,Appear
4,GPU Nvidia RTX 4090,On the Chair,Disappear
5,Hat,On top of Left side monitor,Disappear
6,Giant Cow plush,Left side of the cubicle,Appear
7,Hat,On Giant Cow plush,Appear
7,Plant Pot with a feather,Right side of the cubicle,Disappear
8,Backpack,On the Chair,Disappear
9,Hole Puncher,Left side of the cubicle,Appear
10,Open Jigsaw Puzzle Box,Right side of cubicle at the front,Appear
11,Rubik's cube,The right side of the cubicle,Appear
11,Painting,Left side of the cubicle against the wall,Appear
12,Wheel,In between the two monitors at the back of the cubicle,Disappear
13,Goose Plush,Between the two monitors,Appear
14,Stack of legos,right side of the cubicle close to the front,Appear
15,Hole Puncher,In front the PC on the right side of the cubicle,Disappear
15,Giant Cow plush,Below the cubical on the left side,Disappear
16,Green triceratops toy,Besided the keyboard,Appear
17,Goose Plush,Right side of cubical at the front,Disappear
18,Bear Plush,Right side of cubical in front of PC,Appear
19,Rubik's cube,Left side of cubicle,Disappear
19,Roman head statue  toy,Besided the keyboard,Appear
20,Eiffel Tower Toy,In the right side of the cubicle at the front,Appear
