Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,Hat,On top of the right side monitor,On top of the left side monitor
1,GPU Nvidia RTX 4090 Box,Left side of cubicle at the front,On top of the chair
2,Open Book,Right side of cubicle at the front,On top of the PC
3,Wheel,In front of PC right side of cubicle at the back,In front of right side monitor
4,Orange water bottle,Left side of the cubicle,Right side of the cubical
5,Backpack,Right side of the cubicle,On top Chair
6,Wheel,In front of PC right side of cubicle at the back,In between the two monitors at the back of the cubicle
6,Book,At the top of the PC,Left side of the cubicle at the front
7,Laptop,In the right side of the cubicle,In front of right side monitor
8,Open Glass Jar,Left side of cubical near the monitors,Right side of the cubical in the front
9,Orange water bottle,Right side of the cubical,Left side of the cubicle
10,Hat,On Giant Cow plush,On top of laptop
10,Hole Puncher,Left side of the cubicle,On front of the PC
11,Giant Cow plush,Left side of the cubicle,On the chair
12,Painting,Left side of the cubicle against the wall,Right side of the cubicle  against the wall
13,Open Jigsaw Puzzle Box,Right side of cubicle,Left side of cubicle
14,Goose Plush,Between the two monitors,On Top of PC
14,Giant Cow plush,On the chair,Below the cubical on the left side
15,Hat,on the laptop,On the arm of the chair
16,Goose Plush,On to of PC,Right side of cubical at the front
17,Hat,On the arm of the chair,In front the the PC
18,Green triceratops toy,Besided the keyboard,On top of PC
18,Painting,Left side of the cubicle against the wall,In front the left side monitor
19,Hat,In front of PC right side of cubicle at the back,On the headrest of the chair
20,Jigsaw Puzzle Box,Left side of the cubicle,On the chair
