Episode,Unique Object,Location inside Cubicle,Appear/ Disappear (Change)
1,Roman Head Toy,Top of black PC,Disappear
2,GPU Nvidia RTX 4090 Box,Left side of cubical near the back,Appear
2,COUP board game / card game box,Left side of cubical,Appear
3,Blue / Purple Jacket,Hanging on the chair,Disappear
4,Painting,On the whiteboard,Appear
4,A stack of two phones,Left side of the cubical near theGPU Nvidia RTX 4090 box,Appear
5,Stack of Legos,Right side of cubical behind the PC,Appear
5,Metal water bottle (Brand YETI) / Tumbler water,Left side of cubical at the back,Disappear
6,GPU Nvidia RTX 4090 Box,Left side of cubical near the back,Disappear
7,Wheel,Left side of the monitor at the center of the cubical,Appear
8,Catan Board Game Extension Box,Right side of the cubical besides the biggest PC,Appear
9,Painting,On top of backpack which is on the chair,Disappear
9,3D Printed Purple Glasses,Center back of the cubical on the whiteboard eraser,Appear
10,Hard-shell Pecil Case,Left side of cubical near the back,Appear
11,Whiteboard eraser,On the 3d printed glasses at the back of the cubical near the center,Disappear
12,Catan Board Game Extension Box,Right side of cubical near PC,Disappear
13,Green Triceratops Dinosaur Toy,Left side of cubical,Appear
13,Gian Cow Plush Stuffed Animal,On the cubical chair,Appear
14,GPU Nvidia RTX 2080 Ti,Left side of the PC,Appear
15,Green Triceratops Dinosaur Toy,On top of the left side monitor,Disappear
16,Frisbee,Left side of cubical,Disappear
17,Wheel,Right side of the cubical at the right side of the PC,Disappear
17,Roman Head Toy,Besides the stack of legos on top of the smaller pc on the right side of the cubical,Appear
18,Gian Cow Plush Stuffed Animal,Below the cubical on the right,Disappear
19,Yellow and Purple Plush that looks like a pineapple,On top of the backpack at the left side of the cubical,Appear
