Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,Frisbee,Left side of cubical,Besides PC on the right side of cubical
1,Metal water bottle (Brand YETI) / Tumbler water,Left side of cubical near the stack of books,Left side of cubical at the back
2,Stack of Books,Left side of cubical,Right side of cubical near keyboard and monitors
3,Backpack,Left side below the cubical on the ground,Left side on top of the cubical
4,Frisbee,Besides PC on the right side of cubical,On top of PC on the right side of cubical
4,Backpack,Left side on top of the cubical,On the cubical chair
4,Left side monitor,Left side of the cubical on the back,To the center back of the cubical
5,Frisbee,On top of the Black PC,Between the  monitors
6,Painting,On the whiteboard,On top of backpack which is on the chair
7,Stack of Legos,Right side of cubical behind the PC,On top of the smaller PC at the right side of the cubical
8,Open Book,Left side of cubical,Left side of cubical right against the corner at the back
8,Wheel,Left side of the monitor at the center of the cubical,Left side of the cubical at the front edge
9,Frisbee,Between the  monitors,Left side of cubical close to the front
10,Wheel,Left side of the cubical at the front edge,Right side of the cubical at the right side of the PC
11,Backpack,On the chair,Left side of cubical
11,COUP board game / card game box,Left side of cubical,On the whiteboard
12,Left side monitor,Left side cubical near center,Right side of cubical near center
13,COUP board game / card game box,On the whiteboard,Left side of keyboard
14,Green Triceratops Dinosaur Toy,Left side of cubical,On top of the montitor which is on
15,Gian Cow Plush Stuffed Animal,On the cubical chair,to the back of the cubical on left side
16,Gian Cow Plush Stuffed Animal,to the back of the cubical on left side,Below the cubical on the right
16,Open Book,Left side of cubical right against the corner at the back,Left side at the front edge of the cubical
17,Trash bin,Below the left side of cubical,On top of the chair
18,GPU Nvidia RTX 2080 Ti,Left side of the PC,Right side of keyboard
19,Trash bin,On top of the chair,Below the cubical on the right
