Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,Keyboard,"Right side beneath cupboard, next to badminton racket",On keyboard holder
1,"Green, white Japanese Tea box",Near left whiteboard,In front of monitor
2,Meta aria black glasses,Inside black case in front of left whiteboard,Leftside on table
2,3D printed grey elephant,Right monitor stand,Left monitor stand
3,Badminton racket,Lying on rightside of table,Leaning upright against right whiteboard
4,Raspberry Pi,Right side of the table,Moved closer to the other raspberry pi
4,Green mechanical pencil,Near whiteboard,On left monitor stand
5,Black 3D printed skull,Left side of cubicle near wheel,On keyboard stand next to keyboard
6,Champagne flute,Beside right monitor,Next to wheel on left side of cubicle
7,Hand sanitizer bottle,In front of left whiteboard,In front of right whiteboard
7,Goose plushy,Chair left armrest,Chair right armrest
8,Small white USB to HDMI dongle,On right side of cubicle,Left side of cubicle
8,Green whiteboard marker,On open diary on right side,On right monitor stand
9,Goose plushy,Chair right armrest,On top of grey case
10,Jetson Nano board + box,Right side of cubicle near corner,Left side of cubicle in front of whiteboard
11,Webcam,Mounted on top of left monitor,Mounted on top of right monitor
11,Black diary,Right side of cubicle in front of whiteboard,Beside right monitor
13,3D printed skull,Beside keyboard,Right side of cubicle near corner
14,Black 3d printed eiffel tower,On left monitor stand,On top of left monitor
15,Laptop dongle,Left side of cubicle,Right side of cubicle
16,Champagne flute,Left side of cubicle,Right side of monitor
17,Black meta aria glasses,Left side of cubicle,On left monitor stand
18,Laptop,Left side of cubicle,On top of blue book
18,Green white box of Japanese tea,Left side of cubicle near monitor,In front of left whiteboard
19,Black 3d printed eiffel tower,On top of left monitor,On top of laptop on top of blue book
