Episode,Unique Object,Location inside Cubicle,Appear/ Disappear (Change)
1,Badminton racket,Left side of desk,Disappear
2,Catan,Right side of desk,Appear
3,Small bust,Right side of desk,Disappear
3,Folded jeans,Middle of desk,Appear
4,Textbook,Middle of desk,Disappear
5,Poster,Left side of desk,Disappear
6,Textbook,Middle of desk,Appear
7,Whiteboard eraser,Right side of desk,Appear
7,Ping pong paddle,Middle of desk,Appear
8,Badminton racket,Left side of desk,Appear
9,Goose plush,Right side of desk,Disappear
10,Small bust,Right side of desk,Appear
11,Goose plush,Right side of desk,Appear
11,Mug,Right side of desk,Appear
12,Jeans,Left side of desk,Disappear
13,Black tea box,Left side of desk,Appear
14,Whiteboard eraser,Right side of desk,Disappear
15,Badminton racket,Right side of desk,Disappear
15,Jeans,Right side of desk,Appear
16,Catan,Left side of desk,Disappear
17,Badminton racket,Left side of desk,Appear
18,Almond can,Right side of desk,Appear
19,Poster,Middle of desk,Appear
19,Deck of cards,Left side of desk,Disappear
20,Mug,Middle of desk,Disappear
21,Badminton racket,Left side of desk,Disappear
