Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,Goose plush,Right side of desk,Left side of desk
2,Water bottle,Right side of desk,Left side of desk (on top of poster)
2,Painting,Left side of desk,Right side of desk (against whiteboard)
3,Bike helmet,Left side of desk,Right side of desk
4,Poster,Left side of desk (under water bottle),Against left wall
5,Deck of cards,Left side of desk,Right side of desk
6,Jeans,Middle of desk,Left side of desk
6,Water bottle,Left side of desk,Middle of desk
7,Bike helmet,Right side of desk,Left side of desk (on jeans)
8,Goose plush,Left side of desk,Right side of desk
9,Bike helmet,Left side of desk (on jeans),Left side of desk (off jeans)
10,Painting,Right side of desk,Middle of desk
10,Deck of cards,Right side of desk,Left side of desk
11,Catan,Right side of desk,Left side of desk
12,Badminton racket,Left side of desk,Right side of desk
13,Catan,Left side of desk,Far left side of desk
14,Textbook,Middle of desk,Left side of desk
14,Water bottle,Middle of desk,Right side of desk
15,Mug,Right side of desk,Middle of desk (on top of ping pong paddle)
16,Bike helmet,Left side of desk,Middle of desk
17,Textbook,Left side of desk,Left side of desk (against wall)
18,Badminton racket,Left side of desk,Far left side of desk
18,Goose plush,Right side of desk,Left side of desk
19,Painting,Middle of desk,Right side of desk
20,Small bust,Right side of desk,Left side of desk
21,Water bottle,Right side of desk,Middle of desk
