Episode,Non-unique Object,Initial Count,Final Count
1,Markers,1,3
1,Water Bottle,4,3
2,Markers,3,0
4,Water Bottle,3,1
4,Red coffee cup (Tim Hortons),0,3
5,Red coffee cup (Tim Hortons),3,1
5,Water Bottle,1,5
6,Water Bottle,5,3
7,Water Bottle,3,2
8,Water Bottle,2,0
9,Books,0,4
10,Books,4,2
11,Books,2,0
12,Screw drivers,0,3
12,Tissue boxes,0,3
13,Tissue boxes,3,2
14,Screw drivers,3,1
15,Tissue boxes,2,1
16,Screw drivers,1,2
17,Tissue boxes,1,2
18,Screw drivers,2,3
18,Tissue boxes,2,3
19,Screw drivers,3,1
