Episode,Unique Object,Location inside Cubicle,Appear/ Disappear (Change)
1,Lego blocks,"Center-right of cubicle, in front of monitor",Disappear
2,Lego blocks,"Center-left of cubicle, on right of water bottles",Appear
2,"Board game box, called ""Ravensburg Puzzle""","Center-right of cubicle, in front of monitor",Appear
3,Tooth paste (Colgate),"Far right, close to edge of desk",Disappear
4,"Pack of batteries ""Duracell""",Center Left,Appear
5,Bottle of Lysol wipes,Far Left,Appear
6,Circular metallic box (Butter cookies),"Center right, in front of battery pack",Appear
6,Black water bottle,"Far left, behind legos",Disappear
7,Bottle of birdies,"Center right, in front of monitor",Appear
8,IPad/Laptop,"Center Left of cubicle, on right of whiteboard",Disappear
8,Moisturizer bottle,"Center right, in front of monitor",Appear
9,Stapler,"Far right, close to edge of desk",Appear
10,"Board game box, called ""Ravensburg Puzzle""",Far left,Disappear
10,Wine glass,Far left,Appear
11,Lego blocks,Center,Disappear
12,Plant pot with feather,"Center right, in front of monitor and keyboard",Appear
13,Bottle of birdies,Bottle of birdies,Disappear
14,Circular metallic box (Butter cookies),"Center right, in front of monitor",Disappear
15,Drone,Center left,Appear
15,Red box (time hortons),"Center right, in front of monitor",Appear
16,Wheel,Center,Appear
17,Wine glass,Far left,Disappear
18,Wheel,Far left,Disappear
19,Backpack,"Center right, in front of monitor and keyboard",Appear
