Episode,Unique Object,Initial Location Inside Cubicle,Final Location Inside Cubicle
1,Tooth Paste (Colgate),"Middle of cubicle, in front of power bar",Very right of desk
2,IPad/Laptop (open with screen and keuboard visible),"Center Left, on right of water bottles","Far Left, on left of water bottles"
3,"Board game box, called ""Ravensburg Puzzle""","Center-right of cubicle, in front of monitor",Center of cubicle
4,Legos,Center Left of cubicle,"Far right of cubicle, in front of water bottle"
4,IPad/Laptop,Far Left of cubicle,Center left of cubicle
5,"Pack of batteries ""Duracell""",Center Left,"Right fo cuble, right of computer monitor"
6,Board game (Ravensburg Puzzle),Center of cubicle,Far Left
7,Circular metallic box (Butter cookies),"Center right, in front of battery pack",Center Left of cubicle
7,Legos,Far right of cubicle,Center of cubicle
8,Bottle of birdies,"Center right, in front of monitor",Far right of cubicle
9,Bottle of birdies,Far right of cubicle,"Center left of cubicle, on right side of whiteboard"
10,Bottle of Lysol wipes,Far Left of cubicle,Far right of cubicle
11,Bottle of Lysol wipes,Far Left of cubicle,Center of cubicle
12,"Pack of batteries ""Duracell""",Center right,Center left of cubicle
13,Moisturizer bottle,Center right,Far left
13,Circular metallic box (Butter cookies),Center Left of cubicle,"Center right of cubicle, in front of monitor and keyboard"
14,Stapler,Far right of cubicle,"Center left of cubicle, in front of whiteboard"
14,Moisturizer bottle,Far left,Far right
15,Plant pot with feather,Center right,"Far left, left of whiteboard"
16,Bottle of Lysol wipes,Center of cubicle,Far right of cubicle
17,Wheel,Center of cubicle,Far left of cubicle
18,Drone,"Center left, on right side of whiteboard","Far left, on left side of whiteboard"
19,Red box (tim hortons),"Center right, in front of monitor and keyboard",Center left
20,Plant pot with feather,Far left,Center
